대여소명,대여소번호,이용거리(M),이용건수,이용시간(분)
"고속터미널역 8-1번, 8-2번 출구 사이",2219,12791199.06,3198,104676
고척LIGA아파트 앞,1988,17774400.43,6758,139256
고척교 교차로,1998,14017438.379999999,4108,106040
고척근린공원 고척도서관 앞,1929,12928723.29,5380,108692
고척스카이돔구장 광장,1928,17881097.67,6735,133508
고척아이파크아파트 106동 앞,3928,14971395.86,5670,125345
고척아이파크아파트 205동 앞,3929,13455340.72,6079,106847
고투몰 gate 15옆,4307,13658861.87,4645,115415
곰달래 문화복지센터 A,1141,13996642.81,4718,115628
곰달래 문화복지센터 B,1145,10685631.25,4562,95586
공덕역 2번출구,143,11188938.46,4101,98947
공덕역 5번출구,145,11832482.61,4952,108765
공덕역 8번출구,144,11412238.8,3820,100113
공덕역 경의선숲길 커뮤니티센터,4251,2190613.32,839,18007
공릉1단지아파트,1655,13689643.23,5955,118113
공릉동 신도1차 아파트 뒤,5317,10674570.01,5851,100236
공릉동풍림아파트 101동,2901,13686614.25,8041,112222
공릉로 26길,4040,12357496.92,4751,104088
공릉산 백세문 입구,4044,2733692.73,1243,21061
공릉역 1번 출구 앞,1608,13736647.52,7823,126013
공릉역3번출구,4041,12505742.79,6256,109062
공릉풍림아파트 108동,2902,9153936.72,5401,81247
공무원연금매점 교차로 (개포주공9단지 입구),2403,12125394.59,4743,105477
공항시장역 2번출구 뒤,1108,11532918.71,6534,105692
공항시장역 4번출구,1109,8313537.11,4843,80062
공항중학교 버스정류장,3753,7021796.41,4613,59186
공항중학교앞,1110,13317851.44,9043,111836
공항초등학교건너편,1162,13383374.52,12088,117566
과기대 입구(우),1611,13199350.35,6712,123268
관문주유소(GS칼택스) 앞,3764,13333623.42,8640,120882
관악 GSfresh,3816,6881090.99,4046,69313
관악구민체육센터,3802,5243595.9,3334,57779
관악구시설관리공단,2115,9557632.02,4832,82152
관악구청교차로,2128,6402707.46,3228,65707
관악우체국,2164,9952078.86,4469,92938
관악우체국 교차로,3807,5958453.69,3137,55491
광교사거리 남측,318,10872106.82,4981,105553
광나루안전체험관,3573,9685477.88,4986,89364
광나루역 3번 출구,576,15626196.48,5869,131609
광남중학교,544,21589656.63,5097,155051
광문고교사거리(아이파크),1083,7523280.44,3782,71472
광산사거리,1530,14402911.65,7084,133685
광양중학교 앞,515,12193023.31,3886,97660
광운대역 앞,1602,16170980.26,7917,125896
광운대학교 중앙도서관,2908,12523582.44,4863,95665
광운초등학교 앞,1340,12117322.1,5360,90380
광일빌딩,3815,10409916.16,4490,87307
광진 캠퍼스시티,3579,10958815.38,4925,95324
광진경찰서,3520,13992082.85,7465,116547
광진광장,3581,9314129.97,5632,83582
광진광장 교통섬,584,10982965.41,6489,103936
광진교 남단 사거리(천호공원 방면),1001,12645296.6,5726,115598
광진구 민방위교육센터,3886,11533759.29,6678,97392
광진구의회 앞,501,9387432.39,4414,99844
광진구청 앞,3501,10884639.83,5755,97480
광진메디칼 앞,516,10270302.25,4679,95766
광진소방서 앞,3864,9956154.89,6015,80124
광진유진스웰,3503,4153866.68,1318,31118
광진정보도서관,3528,17305529.48,4683,128109
광진청소년수련관,577,15372036.65,4590,122589
광화문 S타워 앞,308,10241011.84,5799,105581
광화문 시민열린마당,369,2768241.14,1452,25635
광화문 풍림스페이스본 1단지앞,3425,8283600.91,4318,78541
광화문역 1번출구 앞,303,11149601.25,5911,112014
광화문역 5번출구,458,12823206.19,4903,115777
광화문역 6번출구 옆 A,4718,9535578.8,4994,97290
광화문역 6번출구 옆 B,309,7795061.67,3658,79028
광흥창역 2번출구 앞,118,11041193.72,4680,100885
광흥창역5번출구,4206,10088776.1,3422,86391
광희문,476,7916177.25,3997,87437
교대역 5번출구뒤,2279,10408538.18,4169,107378
교대역 6번출구,2239,10777045.52,4607,99801
교대입구 교차로,2272,8564985.42,2916,73285
교보생명보험 앞,264,10190359.9,5999,111226
교보타워 버스정류장(신논현역 3번출구 후면),2302,10462391.44,3201,97920
교수마을 입구,4928,3134423.52,1646,24954
교육개발원입구 교차로,2244,13327461.18,4967,113196
구 서부경찰서 건너편,930,13804158.82,5842,117348
구기치안센터 앞,3430,3152341.38,955,20161
구로1동우체국 앞,1979,5119650.36,2067,39949
구로거리공원 동측(신도림역 방면),1960,10710031.24,5600,95226
구로공구상가 앞,3923,3596535.99,1778,28930
구로교 아래,4167,14297560.42,4397,110258
구로구배드민턴실내체육관 앞,1992,5358822.82,3351,41954
구로구의회 앞,1959,10963841.37,4955,97143
구로구청,1984,13486643.54,6052,123149
구로도서관,1985,12263765.78,5006,106104
구로동롯데아파트,1983,12709814.98,5661,103637
구로디지털단지역 앞,1911,11551526.75,3122,89079
구로리공원,1913,11453505.53,5576,109528
구로역 광장,1946,14084974.48,7019,120416
구로역·NC신구로점 버스정류장(구로역 방면),3919,14245513.34,6428,124928
구로월드아파트 앞,3927,14914622.18,5189,114106
구로자원순환센터,2805,2351934.62,906,18969
구로중학교앞,1916,6752299.11,3222,62750
구룡근린공원,489,4509951.92,2598,41906
구룡마을 입구 (래미안블레스티지 아파트),2390,6038178.19,2133,47499
구룡사 삼거리,2258,6829511.34,2457,49439
구룡사 앞 교차로 (보도육교),2393,1194072.85,561,9354
구룡산 입구 (구룡산 서울둘레길 입구),2392,1868047.59,872,12274
구룡역 1번 출구,3647,3056467.31,1804,28297
구룡역 4번 출구,3648,1822303.56,899,17845
구룡역 5번 출구,3649,2714745.21,1497,25477
구룡초사거리 (현대아파트10동 앞 ),2358,4621009.17,2349,41368
구룡터널 입구(개포1단지아파트),2391,202945.86000000002,84,1649
구립수락노인종합복지관,5330,105299.67,64,1166
구립양천어르신요양센터,4523,2171835.87,709,19219
구산역 2번 출구 예일여고 버스정류장,950,14077394.65,5745,128115
구산역 4번출구,908,13365283.56,5423,116023
구암초등학교 버스정류장,2184,3502963.39,1418,27554
구역삼세무서 교차로,4902,9079979.82,4111,84944
구의3동주민센터,555,6461716.97,2748,65242
구의7단지현대아파트,3563,3289629.96,1581,27748
구의공원(테크노마트 앞),543,13356750.15,5975,120820
구의문주차장 앞,573,13146065.72,6767,106715
구의삼성쉐르빌 앞,551,13048897.13,6796,118775
구의아리수정수센터앞,3516,10129941.77,5620,86514
구의역 리버비스타 오피스텔,3570,10477616.44,4868,94684
구일고등학교 정문,1957,14624865.19,6508,119029
구일역 1번 출입구 앞,1996,18984746.97,4219,135991
구일우성(아) 육교 밑,1907,13309485.07,6585,101637
구파발10단지 인근,959,6280730.99,1720,55850
구파발역 2번출구,905,16102506.55,7627,144310
구파발역 환승센터,960,7291662.08,4813,61289
국군복지단,827,3448251.34,1874,33902
국립국악원 앞,2532,5558601.05,1829,37895
"국립국악중,고교 정문 맞은편",2359,11574119.57,4535,108199
국립어린이과학관,3419,6701758.86,3380,55740
국립중앙도서관(국제회의장옆),2545,7552264.83,2319,57012
국립중앙박물관 -용산가족공원 앞,4607,5633381.58,2111,53087
국립중앙박물관 정문 앞,4608,3547907.13,1285,34647
국립항공박물관,3799,5789935.55,2921,47986
국립현대미술관,314,10394200.92,5501,125329
국민연금공단충정로사옥,4266,3171767.12,1640,28845
국민은행 연서지점,923,8454831.96,4315,76331
국민은행 종암동지점 앞,1321,12233980.36,4848,105526
국민일보 앞,202,11062865.26,2963,103471
국악고교 앞 교차로,3634,6938783.9,2687,55283
국제루터교회 앞,4611,4272695.89,1072,34577
국제빌딩,4762,6567105.86,3014,60541
국회2문,4584,3170714.0,1364,29444
국회3문,297,3586929.0,1233,27825
국회6문,4585,7576784.16,1854,60902
국회도서관,4582,6542701.03,2677,65262
국회소통관,4581,4182477.09,2866,47210
국회의사당 본관,4579,5506173.28,2310,47413
국회의사당역 3번출구 옆,203,9738047.62,4103,99570
국회의사당역 5번출구 옆,204,10037687.92,4330,103417
국회의원회관,200,2817375.33,1287,26055
국회제2의원회관,4580,6125964.21,2385,54889
군자교 서측 녹지대,626,15256179.56,4256,110278
군자교교차로,539,15749690.23,3797,110666
군자역 7번출구 베스트샵 앞,540,11560486.98,5109,96992
군자역 7번출구뒤,3518,12192301.959999999,5441,102177
군자역 비채온 오피스텔,3586,12039616.91,4241,95336
군자역2번출구,3500,12055607.95,4330,101799
군자역4번출구,3891,12267011.82,4466,103207
군자지하보도 앞,562,12833135.93,5655,103622
굽은다리역,1044,11732338.34,5691,113056
궁동생태공원,1969,4329954.55,1352,32405
그랜드아이파크아파트 앞,3798,11402041.76,5826,97779
그랜드컨벤션센터 앞,268,12022258.4,5830,115121
그룹한빌딩옆,2283,2779266.95,1763,25888
극동늘푸른아파트,1401,16149962.55,6299,128106
극동방송국 앞,112,9670882.14,2657,84526
극동스포츠 앞,4907,12358119.5,3181,103299
극동아파트,5756,10436562.97,4803,98039
극동의 푸른별 아파트 뒤(중계4동주민센터 앞),5318,10969816.58,5486,99682
근로자회관 사거리,263,10830016.98,5212,101602
금강수목원아파트 앞,1993,6385628.98,3966,55349
금남시장 교차로,533,10907894.97,2793,76944
금란주차장 앞,1402,11682214.8,5787,105793
금암 문화공원,938,4634256.81,1290,40914
금옥여고보도육교,710,7374824.03,3298,58340
금원빌딩 앞,2313,12744527.33,3229,95308
금융감독원 앞,214,8189218.78,3293,91874
금천구립 독산도서관,1836,3225424.45,1488,28155
금천구청 앞 자전거거치대,1819,4491770.2700000005,2073,43999
금천구청앞(M빌딩),1865,4011196.86,2114,39310
금천구청역 1번 출구,3983,9451705.07,6137,88792
금천폭포공원 앞,1816,4405193.32,1539,39803
금천현대홈타운 후문 서부샛길,3980,11522691.33,4897,77864
금호 어울림 아파트 앞,506,12020800.68,4734,90063
금호나들목,3550,15617384.62,3442,112169
금호사거리,534,9025158.21,2401,65188
금호스포츠센터앞,3525,17728617.36,3743,132149
금호어울림센터힐 내,1353,4373602.34,1810,36018
금호역 1번출구 앞,522,6151546.3,2393,51092
금호역 3번출구,564,4095271.05,1254,31105
기쁜우리복지관,1155,12561816.02,5690,107084
기아자동차 사당점 앞,2090,8723736.82,3881,84820
기자촌 사거리 A,945,1371293.95,797,9481
기자촌사거리 B,4668,1972207.24,1091,14797
길동 동호빌딩,3682,5843183.09,3174,58885
길동 마루빌딩,3681,11302825.28,5864,110949
길동 사거리(초소앞),1022,11047873.01,6166,101551
길마중4교 하부,2277,16634243.92,4369,124101
길성그랑프리텔아파트,3772,11358579.06,7096,103735
길음8골어린이공원 옆,1346,8827817.37,4535,72490
길음뉴타운 래미안9단지,1394,10387619.63,5156,88811
길음뉴타운푸르지오아파트 3단지,1379,2102709.98,1190,15005
길음래미안아파트817동 상가 앞,1347,5283292.32,2993,54837
길음문화복합미디어센터,1367,5877878.95,3353,54720
길음역 3번출구 뒤,1318,12284556.94,6134,119031
김근태도서관,4088,6179216.26,1806,44713
김포공항사거리,3776,6498889.17,3154,62135
김포공항입구 교차로,3778,14279343.49,6164,122813
김포공항입구 교통섬,5072,8741536.46,3628,67362
