대여소명,대여소번호,이용거리(M),이용건수,이용시간(분)
문정중학교,4479,2242892.07,1152,19053
문정현대아파트 교차로,1256,7314672.42,3846,68164
"문현중,고등학교 사이",4488,2322972.66,1290,22726
문화비축기지,422,6224446.0200000005,2105,71245
문화촌 공원,123,20864716.0,4616,143779
물넘이교,4037,17015790.85,7248,133434
미래사랑어린이공원 앞,2824,13560772.58,4948,114324
미림여고입구 교차로,2141,9821422.59,2091,68710
미성동 신림체육센터,2105,11275240.09,5143,104974
미성아파트 A동 앞,220,11005946.67,4564,103683
미아동 복합청사,1525,6831995.51,2967,62618
미아동 한국전력공사,1529,12038875.64,4835,109077
미아사거리 1번 출구,1531,12666093.03,5640,118228
미아역 1번 출구 뒤,1527,9872224.7,4651,96096
"미아역 3번,4번 출구 사이",1501,11000781.54,4605,99855
미아초교버스승강장,4415,1345585.28,664,11204
미호 플랜트 앞,1030,9474139.95,4809,86276
밀리아나2빌딩 앞,1203,11888237.45,5495,112720
밀알학교 입구 (삼성서울병원 입구),2401,5567670.97,1995,44278
바우뫼문화복지회관,2263,10012209.49,3989,87099
박석고개(은평소방서) 앞,4681,2426498.54,1313,19718
반포1동 서초빌딩 앞,2503,13220820.92,4685,110528
반포1동 자율방범초소 옆,2548,10271978.38,2997,73880
반포1동 주민센터 앞,2210,4578252.44,1925,39874
반포경남쇼핑 앞,2526,585440.48,125,5079
반포래미안 리오센트,2547,12415134.42,4185,100534
반포미도2차아파트 옆,4312,5938395.01,2907,56274
반포쇼핑타운 2동 앞,2525,12908667.38,3015,100388
반포쇼핑타운 8동 앞,2524,14627186.88,5267,116619
반포종합운동장,4313,14683882.24,3193,106578
반포종합운동장 입구,2215,13144738.41,4199,117754
반포중학교 앞(세화여고 맞은편),2527,6594330.35,1251,55122
반포천 앞,2540,11596330.74,5202,101569
"발산역 1번, 9번 인근 대여소",1153,11657867.1,6552,106021
발산역 6번 출구 뒤,1124,10666242.05,6515,102371
발산역 8번 출구,3760,11653330.31,7424,111231
방배래미안 정문 앞,2223,5134893.16,2279,42751
방배래미안아트힐아파트 앞,4340,2280413.58,1015,14538
방배역 2번 출구,4318,12490528.84,4692,111065
방배열린문화센터 앞,2227,9414413.2,4116,94665
방아골종합사회복지관,4073,10165269.72,4815,85246
방아다리어린이공원,4530,8197696.54,4268,70240
방아삼거리,3701,2818951.48,1158,27057
방이동 한양3차아파트 옆,1260,13240246.95,6145,115705
방이삼거리,5768,11262377.61,4605,103403
방이역 1번출구,1259,15748558.96,6637,136441
방이역 2번 출구,4463,10336721.06,4428,88639
방이역 4번출구,1218,14601795.89,5857,131620
방이초등학교,1248,12811867.44,5591,120105
방일초교 마을버스 정류장,2221,13800144.13,4644,122986
방정환교육지원센터 옆,4823,10674028.81,5557,93584
방죽마을 입구,3611,4265189.8,1982,33506
방학동우체국 건너편,1706,10945186.27,5552,101906
방학동학마을도서관,1723,8271179.06,3307,74312
방학브라운스톤아파트,4095,1880916.71,1042,20080
방학사거리 (봄마당 앞),1733,10083457.7,4701,88209
방학역 1번출구,1748,6266002.95,3350,60980
방학역2번출구,4091,11563991.77,5575,101690
방학역사거리,1732,8894102.34,4139,84168
방학중학교 앞,1761,5158567.95,2159,43932
방학초등학교 앞,1767,16201495.86,6899,138664
방화근린공원,1105,7434112.3,2879,71890
방화동강서기동대앞,1163,10398667.59,7415,102293
방화사거리 마을버스 버스정류장,1102,14185878.47,7572,125401
방화역 4번출구앞,1103,12577713.68,5671,111663
배명고등학교,2631,9192505.62,3441,74944
배명고등학교 건너편,4886,9324845.05,3883,82716
배봉초교 교차로,4123,12871701.5,5435,107395
백련산 SK뷰 아이파크 해모로 아파트 앞,4677,13396395.709999999,5414,105742
백련산 힐스테이트 3차,909,10145611.7,4053,71377
백련산 힐스테이트상가앞,975,7358162.78,3292,61094
백련산로 녹번센트레빌,4678,6501434.74,3649,55145
백석예술대학교 제3캠퍼스 앞,2225,2183358.56,1035,18234
백토공원 앞,1213,4055831.54,1803,30932
뱅뱅사거리 랜드마크타워 앞,2327,10086461.57,3755,94238
버섯분수대,5761,10726857.39,4711,89502
버스정류장 앞,1736,6663119.3,3282,60810
번3동 주민센터 교차로,1532,12225240.58,4137,97431
번동 금호어울림아파트102동앞,1511,4753532.78,2658,40841
번동 두산위브 101동 옆,1536,9957641.69,4342,92572
"번동 주공3, 4단지 교차로",1533,13772969.14,5138,115638
번동3단지 버스정류장,3718,15645571.16,5072,121739
번동사거리,1554,7908789.23,3226,65543
번동주공5단지 관리사무소 앞,1510,3878671.7,2036,43034
베네스트 오피스텔 앞,4131,7591599.69,4381,75282
벽산 디지털밸리 5차,1848,8772966.41,4895,69319
벽산상암스마트큐브,3002,11678672.56,4355,108837
벽산아파트,3784,14927209.66,4676,104857
볏골공원,1148,12503020.34,5339,106057
보광동 삼성리버빌아파트 앞,839,18809945.81,3634,133328
보금자리정원,2383,4306283.91,1436,34436
보라매 두산위브 건너편,237,14525608.85,6446,125187
보라매sk뷰,4578,5505117.3,2930,48538
보라매sk뷰 108동 앞,4576,9353280.77,4842,84895
보라매공원 보도육교,2176,13853188.94,3884,104938
보라매공원 정문,2059,13851512.27,5576,122730
보라매공원역 2번출구,4181,12657356.86,5537,121665
보라매병원역 1번출구,4179,11399015.38,3650,104984
보라매역 8번출구,2009,11201885.68,5198,104943
보라매역4번출구,252,8331848.36,4322,83922
보라매역?동작세무서 버스정류장(강남중학교방면),2067,13877990.61,5412,123869
보라주유소 앞,5861,7723381.47,3552,70003
보문2교,1355,16085510.03,4411,123000
보문4교 인근,1363,12411843.47,5574,102243
보문역6번출구 앞,1362,11881742.66,5311,100437
보성중고등학교 후문 앞,2609,2594090.27,1440,22418
보아스아파트 앞,759,11960151.07,5686,90994
보타닉파크타워2,5091,10192067.58,6940,85384
보훈병원 후문옆(더 원커피),1065,4737665.64,2698,44533
복자사랑 피정의 집,1370,5177124.3,2448,41082
복정역 1번 출구 앞,2605,15587658.81,4359,110467
본 서부병원 교차로 사거리,4657,11622033.5,6108,109635
본 서부병원 버스정류장(은평 세무서 방면),958,12179693.11,6523,110646
본마을 노인복지센터 앞,2516,7463397.92,2267,53674
본마을 정류소 앞,2201,1400709.34,492,10989
봉림교 교통섬,2102,12239951.12,3411,94000
봉원고가차도 밑,162,8478207.9,4529,62913
"봉은사역 1,2번 출구",2419,14527513.74,3836,116360
봉은사역 5번출구 옆,2315,14725898.8,3392,108154
봉은사역 7번 출구,2418,13229713.26,3337,106173
봉천고개 육교,3307,1846574.1,572,12664
봉천역 2번출구,2169,8592540.76,4420,80955
봉천역 3번출구,2196,7704517.13,4413,78802
봉천역 4번출구,2189,9403921.78,4962,89910
봉화산역 4번 출구,4843,13050533.64,5312,104243
부산은행,4796,9051723.28,3867,99254
부엉이공원 앞,403,10797556.7,5565,88171
북가좌 삼거리,169,7163460.81,2827,52364
북가좌 초등학교,177,10697228.06,4889,87230
북가좌1동 주민센터,164,5494126.3,2597,43330
북가좌삼거리2,3122,11081455.09,4683,81920
북서울 꿈의 숲 입구,1571,9760483.3,3106,70589
북서울 꿈의숲 서문,1548,8498305.41,3442,93773
북성초교,3100,3728622.38,1625,31104
북아현 치안센터 인근,3115,9749919.88,5636,85911
북아현동 가구거리,160,10577443.62,3237,74125
북위례1,5766,6101861.59,2758,48868
북위례2,5767,4806099.58,2101,44099
북위례3,5778,936087.88,472,7881
북한산 우이역,1537,13286688.93,3604,90384
북한산 코오롱 하늘채,1742,14216507.03,5734,116525
북한산 한신휴플러스APT앞,1762,12854452.11,7998,110887
북한산더샾 106동 앞,3109,5950188.59,2065,50661
북한산보국문역,1357,5397732.48,1816,41587
북한산생태공원입구(교통섬),994,3734812.04,2105,29898
북한산입구 정류장,992,5286276.95,1409,43905
북한산힐스테이트 7차아파트,964,5438062.96,3060,53056
불광역 2번출구,925,9218556.43,4310,89904
불광역 9번 출구,961,11624616.96,5267,113838
불광역 9번 출구 맞은편,4653,11203801.0,5078,96406
"불광역3,6호선 버스정류장(동명여고 방면)",4663,11016923.42,4907,97129
불암고등학교 앞 횡단보도,1685,15004212.55,7048,124981
불암아파트 앞,5321,13129440.32,4957,93025
불암주유소 앞,4032,12486326.81,6663,117138
브라운스위트레지던스,4781,4323057.49,2277,36762
브라운스톤 남산아파트,866,6803746.9,3138,55466
비계 버스정류소,2040,4298103.49,1170,33486
비전교회 앞,560,11727379.67,5862,100629
빅마켓 금천점 앞,1830,10586744.73,5559,90837
사가정역 2번출구,1414,13940429.48,5843,118580
사근빗물펌프장 건너편,3600,17625995.34,3945,128938
사당동 아르테스 웨딩앞,2033,9822814.3,5163,99910
사당새마을금고,2062,4963223.5,2477,43271
사당역 12번출구 뒤,2222,11970433.24,4774,103286
사당역 5번출구,2104,11153252.74,4015,100550
사당역 7번출구쪽,2034,9904225.58,3492,84133
사당역10번출구(금강빌딩),2089,9903462.89,4462,93858
사당중학교 버스정류소,2041,2799462.68,1506,23730
사랑의병원,2198,8257179.04,4241,78704
사육신공원앞,2003,12498169.78,2879,93942
사평리근린공원,2538,16607504.01,4333,132985
사평역 2번출구,2514,8038439.72,4113,79832
산기슭공원 앞,3972,2348333.02,1065,18354
산업은행 앞,205,11510551.209999999,3247,113013
산호시티빌 옆,1864,3662971.5,2048,35651
삼각산동 주민센터,1528,7037557.53,3575,53970
삼각산아이원아파트(105동 옆),1550,1976920.43,787,14527
삼각지 자이아파트,849,11613257.75,5319,109341
삼각지12번 출구,848,6557543.89,2817,54840
삼각지역 14번 출구 앞(교통섬),4620,12775356.61,5166,117584
삼각지역 3번출구,813,11323555.22,4646,100610
삼각지역 4번출구 앞,817,10922302.28,4760,85073
삼부르네상스파크빌,1924,8954335.39,5269,74459
삼성SDS,4452,10816337.28,3656,96297
삼성광나루아파트 버스정류장,1004,14592093.0,4799,129461
삼성도로공원,2317,7013388.66,1131,44892
삼성동베이직하우스앞,2380,6426935.43,2541,55815
삼성디지털프라자관악점,2174,9372110.5,3925,90787
삼성사이버빌리지아파트,4752,3440477.15,1992,28839
삼성생명 당산사옥 앞,245,10443166.84,6110,108750
삼성생명 앞,4135,7838408.44,3173,69804
삼성전자 물류센터 앞,1994,10302803.59,5632,84182
삼성전자R&D어린이집 뒤,4319,4973915.53,1387,35862
삼성전자서비스 성북센터,1339,13773598.99,5610,116818
삼성중앙역 5번출구,3604,10364761.75,4223,82846
삼성중앙역4번출구(문화센터더 리빌),2318,4647463.89,1287,35177
삼성중앙역·플래티넘아파트 정류소,3636,9390637.87,3436,82268
삼성타운(삼성생명) A동 맞은편,2231,8946065.65,3117,88955
삼성화재 사옥 옆,267,11515746.03,3790,98659
삼양동사거리,3726,9808059.38,3481,78704
삼양동주민센터 앞,3724,5017198.78,2151,48397
삼양사거리역,1542,5222730.14,2305,46412
삼양시장오거리,1504,5539114.62,2399,50490
삼양역,1541,2864079.71,1336,27391
삼양입구사거리,3703,5463546.72,2507,55445
삼육대 도서관,1679,7386381.89,2060,51611
삼육대 입구,1646,11748795.34,2656,72510
삼육대 제3과학관,1680,2367260.95,552,15002
삼육서울병원 버스정류장,670,12398111.18,4164,99052
삼익세라믹아파트교차로,1726,14284583.79,6303,113837
삼익아파트,2054,9910760.52,4220,86858
삼일교(시그니쳐 타워),472,7281440.79,3172,75810
삼일수영장 앞,2086,10607333.53,6590,89253
삼일초등학교 인근,2048,3865517.96,2634,31369
삼전동주민센터 건너편,5765,7735385.19,3795,79207
삼전동주민센터 앞,4876,8672503.41,4283,90483
삼전역 1번출구,2618,11222425.93,5306,112194
삼전역 4번출구,1221,10029994.98,4192,99845
삼청공원 앞,465,2319904.13,862,20645
삼청동 골목,464,9303934.03,4273,90390
삼호3차아파트 앞,2530,14258600.5,4484,120573
삼호물산버스정류장(23370) 옆,2340,14821431.16,4424,121117
삼호아파트 2동 ( 간선도로),2334,3358246.0100000002,1626,29942
삼호아파트 앞,3912,10670291.39,3942,83332
삼환로즈빌아파트 105동 옆,1965,13832852.28,6261,114233
"상계3,4동 주민센터 대여소",1635,6109481.78,2469,48196
상계8동 주민센터,2913,17458920.92,4659,129512
상계동 우방유쉘아파트 앞,1651,12115856.82,6498,115178
상계동수락리버시티,1672,11494611.58,4156,84131
상계문화정보도서관,4042,14534281.53,5054,111547
상계신동아아파트,5308,3321368.92,1418,28844
상계역 3번출구,1625,15079839.28,5198,113583
상계역중앙시장,2911,15781117.67,5569,125628
상계주공 14단지 상가 앞,4002,9662787.89,5789,97415
상계주공10단지 버스정류소,4019,13848325.4,5838,124681
상계주공10단지 종합상가 앞,1686,14529385.16,6246,128262
상계주공13단지 1301동,4043,2909210.5,1670,28484
상계주공15단지 1509동 앞,5329,207017.80000000002,127,2182
상계주공15단지 버스정류소,4018,10698872.19,4903,94812
상계주공1단지 버스정류장 옆(대원빌딩 앞),5301,13270119.03,6496,130204
상계주공1단지아파트,4026,11319662.44,6930,100025
상계주공2단지 219동,1697,13837511.42,6836,122938
상계주공2단지 버스정류장 옆,1636,10717928.39,5700,101320
상계주공7단지 아파트 앞,5325,2865613.41,1514,31399
상계중학교(당현2교사거리),2920,12894963.97,6202,105273
상계초교 입구 교차로 명주빌딩 앞,4003,11452705.21,5763,114243
상도 아이파크 아파트,2057,4813271.68,2049,41238
상도SH빌아파트 입구,2093,3155186.94,1248,23743
상도역 1번출구,2024,11472625.24,3508,92674
상도중앙하이츠빌 입구,2088,8227146.94,2463,60548
상도효성해링턴플레이스,4152,8096375.88,3575,72710
상록수아파트,3644,8577977.78,3575,71474
상림마을 롯데캐슬2단지 옆,937,2991554.98,787,26345
상림마을 생태공원,942,4840280.04,2968,40640
상명대입구,446,15608453.55,3545,99410
상봉2동 주민센터 앞,4803,9471793.9,5666,92639
상봉시장앞 교차로 한성빌딩 앞,1411,10361494.08,4980,93072
상봉신협 앞,4824,9898298.0,5603,88790
상봉역 1번출구,1449,9639147.01,5169,86349
상봉역 2번 출구,1455,11496585.92,5861,106237
상봉역 3번출구,1416,10237959.73,6371,100884
상봉터미널2,1458,12996205.22,6989,118967
상사마을 버스정류장(아라대교방면),1101,4362976.28,1501,31518
상수역 2번출구 앞,111,11423868.86,3043,93785
상수역새마을금고,4246,10199399.32,3106,84863
상신정비공업 앞,1823,3100969.59,2117,30312
상신초등학교앞 버스정류장,984,13868947.82,4751,103979
상아빌딩(우림시장 교차로),1456,14660510.51,6808,130491
상암동주민센터 옆,414,12196798.21,5780,106063
상암월드컵파크 10단지 앞,401,12496255.08,6143,113407
상암월드컵파크 1단지 교차로,416,11524705.24,5172,95567
상암월드컵파크 3단지 후문,413,10746847.48,4459,91247
상암월드컵파크 7단지 앞,406,9076487.02,3653,78988
상암월드컵파크 9단지 앞,402,9729935.75,4971,89356
상암월드컵파크5단지(상암중학교),3006,8894016.54,4063,74142
상암중학교 옆,410,4710482.13,1837,39092
상암한샘빌딩앞,4238,10922722.11,4614,84209
상암한화오벨리스크 1차 앞,400,10474778.09,4270,86029
상왕십리역 1번출구,3513,11750719.3,6461,112182
상왕십리역 4번 출구 앞,520,9745462.55,4844,85313
상왕십리역 6번 출입구,3547,8408813.69,4340,76860
상원삼거리 장안철교 아래,4393,9246640.65,2583,69358
상월곡역 1번출구,1326,11796500.35,4520,93436
상월곡역 3번출구,1327,11362469.01,4442,95540
상월곡역 4번출구,1325,7630654.29,2987,68061
상일동산(동아아파트앞 교차로),3688,5119793.35,1982,43575
상일동역 2번출구 앞,1090,14733902.64,6719,138695
상일초등학교,1025,10099114.71,4217,88322
상일파출소 옆,3699,12609274.5,5821,114195
새말소공원,290,9153559.01,5106,84155
새솔초등학교,1418,5195867.01,1974,35882
새우개마을,4802,3174213.86,1541,22003
새절역 2번출구,914,18439985.31,4728,143765
새정이마을버스정류장 앞,4338,853032.53,226,5912
샛강생태공원방문자센터 앞,271,9961406.35,3072,81358
샛강역 1번출구 앞,226,12513518.44,4218,104535
샛마을 근린공원,1015,9607977.74,4521,93169
생명의 전화 종합복지관 앞 교차로,1375,12667578.81,5158,105587
생태공원앞 교차로(조명탑),1066,3132833.94,1300,28325
서강나루 공원,119,15459426.04,3264,117318
서강대 남문 옆,125,4704668.79,2404,44186
서강대 정문 건너편,124,9513687.1,4715,91627
서강대 후문 옆,126,8181664.36,3699,76517
서강대역 2번출구 앞,150,9975168.41,3795,88872
서교동 사거리,108,10180109.52,3535,106672
서남병원 후문,782,10570153.79,5751,93507
서남환경공원 버스정류장,1113,13156273.120000001,7408,112330
서남환경공원(방화동도시개발2단지방향),5063,10438830.5,6176,90386
서대문구청,3101,7325833.8,2393,57821
서대문역 2번 출구,4267,12861149.67,5471,113812
서대문역 8번출구 앞,173,5444349.16,2524,47905
서대문자연사박물관 입구,4262,5172060.5200000005,2018,42368
서래공원 앞,4306,13121588.53,4061,108550
서부식자재마트 건너편,729,13808301.52,6062,107173
서부운전면허시험장,4224,13971985.2,6077,118550
서빙고동 금호맨션 앞,808,7328832.649999999,2417,63557
서빙고동 주민센터 앞,825,16514857.75,3030,123248
서빙고역 광장(1번출구),867,5787275.13,2066,50501
서서울모터리움 앞,1159,9078542.35,4366,79021
서소문성지역사박물관,4766,3714631.2,1891,32795
서소문역사공원,4782,1202554.6,615,10328
서우빌딩,191,10955310.57,4698,93400
서울 논현동우체국 앞,3615,7517512.97,2592,65559
서울 시흥동우체국 앞,1822,9423893.68,3964,74880
서울 월드컵 경기장,199,14258908.56,5671,135647
서울가정법원,2243,11489656.1,4976,92469
서울강월초등학교 앞,720,9045499.89,5096,80541
서울갤러리아 앞,4613,3189744.32,1000,28569
서울고등학교 건너편,4333,4412766.35,1839,41644
서울고앞,4304,3704530.02,1503,36265
서울과학기술대학교(미래관),2914,5320674.54,2697,49357
서울과학기술대학교(어학교육원),2915,7988291.7,5167,75115
서울교육청 교육연수원 앞,4336,2280753.84,878,15632
서울교통공사사거리 교통섬,4105,11255440.67,5004,96185
서울남부교정시설 앞,3922,4148784.12,1963,28125
서울남부지방검찰청 후문,4537,9912203.65,7271,100642
서울남부출입국관리소,3758,12446203.84,11950,115344
서울남부터미널 대합실 입구,2237,10755815.98,4204,102613
서울대벤처타운역,3819,10871127.78,3726,83445
서울대입구역 1번출구,2111,8641471.32,4159,89066
서울대입구역 4번 출구,3311,7860531.96,3852,77276
서울대입구역 5번출구,2171,11506634.69,4505,101968
서울대입구역 마에스트로,2112,7305369.4,3441,71149
서울대학교 정문,2178,6850585.5,2413,51152
서울도봉초등학교인근,1727,10582110.78,3908,88925
서울도시가스 앞,2703,12530710.12,5310,106376
서울도시건축전시관,4768,11682078.33,5329,114942
서울디자인고등학교 앞,4222,12645294.44,5077,112601
서울디자인직업전문학교 앞,1853,6233392.08,3587,53289
서울디지털운동장 앞,1805,12462542.07,4878,95619
서울문화재단 앞,4121,10708730.7,4059,97570
서울미래초등학교 사거리,1920,14166281.23,6484,124964
서울미술관,3428,4495403.54,1262,34096
서울방이동 고분군,2630,11971863.1,5457,109841
서울보증보험본사 앞,345,8370556.37,5226,82843
서울복합물류 게이트 1,4852,10658675.34,3851,83082
서울본부세관(건설회관 앞),2352,4493617.25,1463,35940
서울북부고용노동지청,1553,10791937.38,4045,87644
서울북부고용센터앞,1674,14280008.64,5248,118177
서울북부광역등기국,1756,3766882.0,1900,36069
서울북부수도사업소,1509,7866903.62,3465,73230
서울북부지방법원,1728,4147692.65,1886,33820
서울북부지방법원 앞,1759,9482286.05,3816,73402
서울사대부설초등학교 앞,355,10211936.209999999,6115,98318
서울산업정보학교,2143,5286020.34,2092,43368
서울서부지방법원 앞,156,9244630.59,4362,85617
서울서부지방법원등기국앞,4247,6979943.38,2566,53595
서울서초고용센터앞,2280,7052909.79,3214,70859
서울숲 IT캐슬,3538,140491.77,61,1252
서울숲 공영주차장앞,3552,11126920.74,2605,118222
서울숲 관리사무소,3515,9786343.4,2728,110609
서울숲 지식산업센터,4373,8984186.11,3644,89518
서울숲리버뷰자이APT105동 앞,3557,12625997.209999999,3758,92149
서울숲역 2번출구 앞,561,10356036.39,3863,105257
서울숲역 5번 출구 옆,511,11155718.22,3661,116806
서울숲역3번출구,4389,7286075.47,2111,78082
서울시 공공자전거 상암센터,420,14528825.35,3977,142156
서울시 도로환경관리센터,731,13057619.62,5456,118452
서울시 북부병원 앞,4840,6409330.24,2991,55861
서울시 북부여성발전센터,4039,11304692.67,5247,96252
서울시 품질시험소 앞,2246,9640886.51,3055,72952
서울시립24시간게스트하우스,4394,141329.13,74,1108
서울시립과학관,1660,5479796.01,3049,49796
서울시립대 건설공학관,664,4070711.29,2153,48488
서울시립대 정문 앞 A,616,3934068.05,1986,31932
서울시립대 정문 앞 B,623,10231565.31,4919,93783
서울시립대 정보기술관,638,5672086.69,2162,51967
서울시립대 후문,639,3474094.66,2179,35575
서울시설공단 앞,550,12692267.93,4187,97901
서울시여성가족재단,2065,6450943.88,3143,56799
서울식물원 식물문화센터,2725,14832231.02,6626,128233
서울식물원 잔디마당 앞,2727,10167075.74,5240,82222
서울식물원(문화센터) 건너편,1196,5111117.72,3397,45307
서울신성초등학교,2139,9111343.03,2610,68009
서울신용보증재단,426,13839307.35,5089,109697
서울신우초등학교,3306,453012.12,109,3011
서울안천초등학교 옆,1866,4281648.31,1032,31494
서울여대 남문,1642,12387784.66,4813,90690
서울역 12번 출구 앞,807,11500949.98,4192,102176
서울역 7번출구,4760,3038046.22,891,26380
서울역 서부,442,4184643.39,2439,37002
서울역 서부교차로(3),4794,10166935.32,5103,85886
서울역 서부교차로2,826,13277785.8,5489,111770
서울역 센트럴 자이아파트,399,7434195.04,3713,62721
서울역5번출구,485,12820241.6,4030,107619
서울역9번출구,379,12718407.04,4303,106275
서울역사박물관 앞,307,8958100.23,4428,88625
서울연신중학교,952,2880594.63,2463,26609
서울연신초등학교,953,5904835.3,3065,47981
서울영상고교 입구,4509,11362388.54,5246,108598
서울율현초교 삼거리,3618,11043194.9,4710,92901
서울중랑우체국,1474,9642070.85,5403,86096
서울지방경찰청,461,8733468.19,4675,90165
서울지방고용노동청 앞,3013,11593731.75,3788,102609
서울지방병무청 버스정류장,251,10819940.05,5586,97951
서울천호동우체국,3657,13246117.59,5684,121243
서울체육고등학교 앞,1291,7977897.91,3855,78169
서울추모공원 입구,4322,1612055.22,484,10130
서울축산농협(장안지점),668,12436168.06,4863,109544
서울출입국관리사무소 앞,708,9262896.5,5403,90526
서울친환경유통센터,2659,2689023.03,1038,19796
서울특별시 남부교육지원청,3221,9937093.11,5429,98974
서울특별시 동부교육지원청(육교),681,3207040.32,1782,29495
서울특별시 동작관악교육지원청,2096,1573337.34,658,13142
서울특별시 은평병원,965,5476549.31,2918,49254
서울특별시 중부교육지원청,3404,2006026.15,1034,19630
서울특별시교육청도봉도서관,1715,11784148.46,4098,98368
서울혁신파크,919,9264767.2,4164,91862
서울혁신파크1,966,2358083.18,1216,30604
서울혁신파크2,967,5332449.22,2080,48976
서원마을,3539,2274691.03,744,20667
서일스포츠센터,4305,2936174.57,1261,30241
서초 크로바타워 앞,2521,7049283.06,3765,69946
서초 포레스타5단지,2501,8976204.48,3235,63199
서초1교 (진흥아파트 방면),2520,5732897.37,3026,57568
서초2교(사임당로 방면),2519,2919234.63,1340,29579
서초4동주민센터,2268,12004267.79,4647,102362
서초구립반포도서관 앞,2211,14736523.97,6646,131959
서초그랑자이 앞,2517,6774861.06,3014,68955
서초동 현대아파트 앞,2518,7565803.16,3403,76648
서초리슈빌S 글로벌 앞,2248,3305227.49,1143,23788
서초신동아1차아파트 옆,2233,7004355.2700000005,3746,72413
서초역 3번출구,2266,9650055.16,3396,89619
서초역1번출구 앞,2502,8165207.17,3316,71995
서초유치원 맞은편,2250,17632740.85,3628,110311
서초종합체육관 입구,2536,2158351.71,913,23432
서초초등학교 후문,2515,10386233.56,3760,97374
서초케이타운앞,4309,311493.61,150,2519
서초포레스타 7단지,2270,6487150.26,1948,50693
서초현대4차아파트 201동 맞은편,2212,9398648.73,4533,78756
석계역 3번 출구,2909,13917302.53,5380,117529
석계역 4번출구 뒤,1381,15019377.96,3797,113252
석계역 5번출구 건너편,1332,13694259.53,4311,112044
석계역 문화광장 내 자전거 보관소,1601,15620315.06,7259,125511
석관동주민센터 앞,1334,10123488.13,4453,90153
석관래미안아트리치,1390,13175399.05,5220,118874
석관초등학교 앞,1333,11427758.68,4688,108717
석촌고분역 2번 출구,2632,11472143.22,5774,113740
석촌고분역 4번출구,2619,10853864.38,5468,110799
석촌동 주민센터,2623,9123992.37,4620,95661
석촌역 2번출구,1251,11532127.31,5783,127202
석촌역 8번출구,2639,10759434.33,5642,111156
석촌호수 서호 남단,4868,9799807.8,5512,100017
석촌호수 서호 사거리,1293,10634860.45,5195,107771
석촌호수 아뜰리에,2601,11922841.81,5963,113390
석촌호수교차로 (송파나루근린공원 앞),1296,8874950.94,4791,86689
석촌호수교차로(동호 팔각정 앞),1297,12497008.37,5842,127576
선릉역3번출구,2332,11221135.83,3856,106718
선린인터넷 고등학교,819,11861775.16,5266,108437
선사고등학교,1032,8329592.64,2849,68665
선유도역 3번출구 앞,228,12004110.87,4198,106288
선잠단지 앞,1365,4105781.35,1932,32527
"선정릉 디캠프(D,CAMP)앞",2417,3770006.96,1681,36687
선정릉역 4번 출구,3646,7505553.04,3158,69349
섬들근린공원,2247,16617285.23,4418,117776
섬유센터 앞,4906,11827373.52,3200,99624
성공회대학교,3917,7211848.2,3907,54856
성균관대 E하우스 앞,344,8139919.24,4932,74955
성균관대 정문,3422,10079356.99,4915,91614
성균관대입구 사거리 A,358,10689330.18,5105,90813
성균관대입구 사거리 B,3420,11210048.03,5543,97939
성내5교,2644,15940918.74,5524,130404
성내7교,1277,13909362.11,5276,112990
성내교 남단,4862,8229460.57,2909,65954
성내삼성아파트,3668,10749266.209999999,5832,109233
성내어울터,1029,10827544.22,5491,110946
성내유수지 체육공원,4892,5285915.91,2581,48379
성동광진 교육지원청 앞,558,11681121.18,4470,107202
성동교 사거리,4370,10420711.39,3409,90738
성동구 견인차량 보관소 앞,3560,12836008.04,5005,106985
성동구민종합체육센터 앞,3559,10357007.54,3391,105958
성동도로사업소,3551,4274607.99,2048,35150
성동세무서 건너편,563,9161423.77,4154,81427
성동세무서 부근,578,9227448.51,3564,70002
성보하이드로빌딩,4517,13298574.28,5992,114325
성북3교 위,1336,18045264.76,6413,132747
성북구 한예종 캠퍼스 별관,4420,6232633.75,4117,73467
성북구 한예종 캠퍼스 본관,4419,5260818.38,3581,58420
성북구보건소 건너편,1373,10295424.0,3933,85184
성북구청,1305,12399623.97,4751,95845
성북동 치안센터 앞,1364,10957686.88,5123,88404
성북쉼터 앞,1342,2866595.89,1408,23527
성북제일새마을금고 본점 앞,1348,7027927.21,3906,60300
성북청소년문화의집,4417,1059439.05,377,8704
성북청소년센터,1391,7964382.19,3754,59620
성산2-1 공영주차장,438,13169418.25,4586,110615
성산2교 사거리,153,11202998.57,4255,102567
성산시영아파트,427,12730553.31,5377,117110
성산유수지공원,5508,2980894.66,1195,26932
성서대학교 밀알관,1678,4651057.65,2229,47564
성수2가1동 공영주차장 인근,585,12122103.82,4054,100241
성수사거리 버스정류장 앞,514,8354638.600000001,4023,85020
성수아카데미타워 앞,508,8413236.71,4356,89163
성수역 1번출구 주변,4387,10646627.09,4737,100300
성수역 2번출구 앞,567,9080855.73,4708,95750
성수역3번출구,589,7392116.04,3314,80476
성신여대입구 교차로,1368,9014284.71,3542,79962
성신여대입구역 3번출구 앞,1385,11552732.65,4802,101593
성신여대입구역 5번출구,1384,14365272.91,5294,115847
성원2차 아파트,752,11709179.37,4942,97741
성원APT버스정류소,1771,8099408.35,3864,69346
성지아파트 옆 도로변,1855,3064109.48,1176,25101
세곡데이케어센터,3637,3811490.33,1524,33204
